"ID"	"feed"	"time"	"text1"	"text2"
876166	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Venezuela: Oficialismo pide al Tribunal Supremo que investigue a María Machado por traición"	"Machado fue despojada de su investidura parlamentaria el martes pasado, acción secundada en la noche de ayer por el mismo TSJ."
876164	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Un espía como ""moneda de cambio"" de Obama en Medio Oriente"	"La liberación de Jonathan Pollard -encarcelado desde 1985 en EE.UU. por espiar para Israel- aparecería entre los puntos que negocia el secretario de Estado John Kerry con palestinos e israelíes para extender las conversaciones de paz."
876165	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Obama señala que se ha dado ""un gran paso adelante"" con la reforma sanitaria"	"""Esta ley está aquí para quedarse"" agregó el mandatario estadounidense. Hubo 7,1 millones de inscritos en los nuevos seguros médicos privados."
876168	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Amnistía advierte que Venezuela puede caer en una ""espiral de violencia"" si no controla abusos a DDHH"	"El informe hecho por el organismo internacional, señala que desde el inicio de las protestas se han registrado 37 muertos, 559 heridos y 168 personas arrestadas, aunque el total de detenidos en 49 días de protestas en contra del gobierno llega a los 2.153."
876169	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Nuevo Primer ministro de Francia asume en sus funciones ad portas a un nuevo cambio de gabinete"	"Manuel Valls inició sus funciones prometiendo ""recuperar"" a su país de la crisis. En tanto, se espera que mañana el nuevo Jefe de gobierno realice los primeros cambios en las carteras de estado."
876167	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Palestinos rompen pacto con Israel y elevan solicitudes para tener mayor reconocimiento de la ONU"	"La medida tomada por el Presidente Abbas podrí­a perjudicar las conversaciones con Israel, pero, según el líder palestino, retomaron el proceso porque el gobierno de ese país no cumplió su promesa de liberar a 104 presos palestinos."
876170	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Timoshenko reafirma que no bajará su candidatura para apoyar al ""rey del chocolate"""	"La ex Primera ministra de Ucrania, señaló de forma irónica, que día a día entrega apoyo al candidato favorito, Piotr Poroshenko, a través de la compra que su familia hace de los chocolates de su empresa."
876163	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Evo Morales cede y suspende ley minera para evitar más protestas"	"Las cooperativas de mineros, aliadas del gobierno, se están movilizando en su contra. Las manifestaciones han dejado dos mineros muertos. Morales enfrenta un difícil panorama."
876161	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Policía impide llegar al Parlamento venezolano a diputada destituida"	"La diputada opositora María Corina Machado perdió su investidura luego de haber asistido el 21 de marzo a la Organización de los Estados Americanos, buscando exponer el caso venezolano en el turno de Panamá."
876162	"es_CHL_tercer_int"	"2014-04-02 15:49:11"	"Ola de linchamientos y alza de narcotráfico agravan inseguridad en Argentina"	"En sólo nueve días se han registrado al menos 10 casos de linchamiento. La mayoría se concentra en la provincia de Santa Fe."
876691	"es_CHL_tercer_int"	"2014-04-02 16:48:45"	"Perú y Ecuador: los vecinos que también estuvieron alerta tras el terremoto"	"Si bien el gran sismo sólo dejó daños leves en algunas infraestructuras al sur del país dirigido por Ollanta Humala, ambas naciones decretaron medidas precautorias ante un posible tsunami y llamaron a sus habitantes a seguir las recomendaciones de sus respectivos gobiernos."
877411	"es_CHL_tercer_int"	"2014-04-02 17:48:47"	"Presidente depuesto de Ucrania asegura que Crimea debe seguir formando parte del país"	"En su priemera entrevista desde que salió de gobierno, Víktor Yanukóvich expresó la esperanza de poder negociar con Vladimir Putin la devolución de la península a la soberaní­a ucraniana."
877407	"es_CHL_tercer_int"	"2014-04-02 17:48:47"	"Machado llega a Brasil para ""denunciar como diputada"" situación venezolana"	"La parlamentaria opositora que hace pocos días fue removida de su cargo, llegó al país carioca para tener reuniones con distintas autoridades."
877466	"es_CHL_tercer_int"	"2014-04-02 17:49:12"	"Ucrania adopta política de descentralización que contempla elección de gobernadores regionales"	"Según el comunicado del gobierno interino, la reforma permitirá ""conciliar los intereses de las comunidades nacionales y locales""."
878084	"es_CHL_tercer_int"	"2014-04-02 18:48:48"	"Las reglas más curiosas que los turistas deben seguir en algunos monumentos y patrimonios de la humanidad"	"Desde recorrer el complejo turístico con ropa, hasta la prohibición de mostrar marcas comerciales, son algunas de las normas que algunos sitios emblemáticos han incorporado para preservar el ambiente cultural."
878135	"es_CHL_tercer_int"	"2014-04-02 18:49:14"	"Italia deja de considerar como delito la inmigración ilegal"	"El debate en Italia sobre esta ley se reabrió el pasado octubre, después del naufragio frente a la isla siciliana de Lampedusa, donde más de 360 inmigrantes perdieron la vida."
878136	"es_CHL_tercer_int"	"2014-04-02 18:49:14"	"Nicolás Maduro llama a la paz en Venezuela a través de columna del New York Times"	"En el artículo, el Mandatario también acusó a los opositores de tener como objetivo el ""derrocamiento inconstitucional del gobierno elegido democráticamente"""
878137	"es_CHL_tercer_int"	"2014-04-02 18:49:14"	"Presidente depuesto de Ucrania asegura que Crimea debe seguir formando parte del país"	"En su primera entrevista desde que salió de gobierno, Víktor Yanukóvich expresó la esperanza de poder negociar con Vladimir Putin la devolución de la península a la soberaní­a ucraniana. Interrogado sobre su opulenta casa de campo en las afueras de Kiev, el mandatario negó cualquier acusación de corrupción."
878753	"es_CHL_tercer_int"	"2014-04-02 19:48:50"	"Cristina ""K"" asegura que Islas Malvinas son ""la base militar de la OTAN en el Atlántico Sur"""	"Durante el acto conmemorativo del aniversario 32 de la Guerra de Malvinas, la Mandataria argentina reiteró su llamado a Londres a cumplir con la resolución de las Naciones Unidas que convoca a ambos países a dialogar."
